contig	Sample_ERR10036468	Sample_ERR10036469	Sample_ERR10036470
c_000000001863	4.8528286189683865	12.83594009983361	0
c_000000001864	0.9047840222944729	31.699489084997676	0.06967022758941012
c_000000001877	1.5223529411764707	3.499607843137255	0
c_000000001879	1.4833005893909628	4.887688277668631	0
c_000000001889	30.982798368505055	1190.233020039014	0
c_000000001899	10.561238223418574	0	0
c_000000001902	1.3706505295007565	41.37443267776097	0
c_000000001903	14.535058914429206	0.057562294765308095	0
c_000000001911	1.848694725625999	6.24453915823122	0
c_000000001917	0.45254745254745254	6.0289710289710285	0
c_000000001919	2.7404718693284935	3.1515426497277677	0
c_000000001920	2.350732600732601	191.5686813186813	0
c_000000001955	0.1008684034736139	3.7314629258517034	0
c_000000001987	4.421347346657478	63.69443487250172	0
c_000000002002	3.754589371980676	0	0
c_000000002027	65.71716417910447	28.986567164179103	0.6567164179104478
c_000000002031	4.381058911260253	5.179716629381059	0
c_000000002041	109.24580515256338	270.698074242346	0
c_000000002045	0.22205882352941175	6.095588235294118	0
c_000000002059	0.9041916167664671	5.262974051896207	0
c_000000002077	3.7192118226600983	63.20760028149191	0
c_000000002083	11.376362593230063	0	0
c_000000002088	0.10053262316910785	11.139147802929427	0
c_000000002099	3.40418410041841	1.5163179916317993	0
c_000000002117	8.751718869365929	0	0
c_000000002130	12.602763385146805	0	0
c_000000002136	27.61953488372093	926.2539534883721	0
c_000000002138	10.695333333333334	0	0
c_000000002154	6.486522911051213	41.60983827493261	0
c_000000002166	96.69091348477525	278.98598356694055	0
c_000000002181	25.474874371859297	0	0
c_000000002193	41.50330517811238	1936.8861549761293	0
c_000000002202	12.930126582278481	0	0
c_000000002206	19.001759530791787	7.475073313782991	0
c_000000002210	9.59867229933615	273.925165962583	0
c_000000002212	8.812322946175637	0	0
c_000000002214	110.59957514604355	171.88590901044432	0.7625243405912551
c_000000002216	8.647668393782384	0	0
c_000000002218	20.20556745182013	531.355460385439	0
c_000000002231	29.519183922046285	1225.3644945188794	0
